Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
8, 10, 1, 9.30, 11999029, 73978901, 2501701, 72.70464, 49, MSG_HR_READY, 
8, 11, 1, 9.30, 11994237, 73973545, 2498561, 72.70464, 49, MSG_HR_READY, 
8, 12, 1, 9.30, 11989127, 73967335, 2495187, 72.70464, 49, MSG_HR_READY, 
8, 13, 1, 9.30, 11986637, 73973867, 2492509, 72.70464, 49, MSG_HR_READY, 
8, 14, 1, 9.30, 11983953, 73956091, 2490797, 72.70464, 49, MSG_HR_READY, 
8, 15, 1, 9.30, 11977885, 73945597, 2488369, 72.70464, 49, MSG_HR_READY, 
8, 16, 1, 9.30, 11973733, 73934567, 2486781, 72.70464, 49, MSG_HR_READY, 
8, 17, 1, 9.30, 11973415, 73930497, 2483979, 72.70464, 49, MSG_HR_READY, 
8, 18, 1, 9.30, 11970571, 73920753, 2483157, 72.70464, 49, MSG_HR_READY, 
8, 19, 1, 9.30, 11966483, 73924287, 2481177, 72.70464, 49, MSG_HR_READY, 
9, 0, 1, 9.30, 11968911, 73911115, 2479249, 72.70464, 49, MSG_HR_READY, 
9, 1, 1, 9.30, 11973191, 73914543, 2477857, 72.70464, 49, MSG_HR_READY, 
9, 2, 1, 9.30, 11965431, 73887235, 2476661, 72.70464, 49, MSG_HR_READY, 
9, 3, 1, 9.30, 11965335, 73896659, 2475751, 72.70464, 49, MSG_HR_READY, 
9, 4, 1, 9.30, 11966005, 73893125, 2475233, 72.70464, 49, MSG_HR_READY, 
9, 5, 1, 9.30, 11965621, 73891197, 2474323, 72.70464, 49, MSG_HR_READY, 
9, 6, 1, 9.30, 11966931, 73891411, 2474163, 72.70464, 49, MSG_HR_READY, 
9, 7, 1, 9.30, 11967443, 73893981, 2473413, 72.70464, 49, MSG_HR_READY, 
9, 8, 1, 9.30, 11969103, 73904261, 2474037, 72.70464, 49, MSG_HR_READY, 
9, 9, 1, 9.30, 11969487, 73911437, 2474555, 72.70464, 49, MSG_HR_READY, 
9, 10, 1, 9.30, 11971147, 73890019, 2473859, 72.70464, 49, MSG_HR_READY, 
9, 11, 1, 9.30, 11971307, 73887985, 2474109, 72.70464, 49, MSG_HR_READY, 
9, 12, 1, 9.30, 11970509, 73891411, 2474199, 72.70464, 49, MSG_HR_READY, 
9, 13, 1, 9.30, 11970795, 73910687, 2475215, 72.70464, 49, MSG_HR_READY, 
9, 14, 1, 9.30, 11972711, 73900513, 2474359, 72.70464, 49, MSG_HR_READY, 
9, 15, 1, 9.30, 11973957, 73896659, 2474609, 72.70464, 49, MSG_HR_READY, 
9, 16, 1, 9.30, 11973095, 73881345, 2474983, 72.70464, 49, MSG_HR_READY, 
9, 17, 1, 9.30, 11975587, 73891519, 2474663, 72.70464, 49, MSG_HR_READY, 
9, 18, 1, 9.30, 11975203, 73893339, 2475073, 72.70464, 49, MSG_HR_READY, 
9, 19, 1, 9.30, 11972711, 73887985, 2475055, 72.70464, 49, MSG_HR_READY, 
10, 0, 1, 9.30, 11976321, 73883809, 2474681, 73.61948, 49, MSG_HR_READY, 
10, 1, 1, 9.30, 11983155, 73908545, 2473645, 73.61948, 49, MSG_HR_READY, 
10, 2, 1, 9.30, 11975969, 73889591, 2473859, 73.61948, 49, MSG_HR_READY, 
10, 3, 1, 9.30, 11977119, 73879097, 2474217, 73.61948, 49, MSG_HR_READY, 
